code,product_name
4056489265948,Chef select aioli
8801073411432,Buldak hot sauce - Samyang
8710604750080,Knorr mushroom sauce
4056489644804,Kettle cooked chips salt and vinegar 
6419811108203,Fazer Willja Oat rice
6408430671113,Valio Grandi mehujuoma talvinen omena 1l sokeriton
6411200102779,Elovena Välipalakaurajuoma Aurinkoinen
6438460096150,Kotimaista kurkkumajoneesi 270 g
6419860978369,Kuppinuudeli Priima 65 g kananmakuinen
8714100868867,Knorr Veggie Snack Mediterranean Couscous 73g
7310240661484,Felix perunamuusi 12 annosta 440 g
6410405179586,Pirkka mansikka-banaanismoothie 1l
20937270,Freeway Cola Zero Sugar
6415130041474,Natur 4 hedelmää täysmehu 1l
6419811105301,Fazer Alku Ruokakaura ateriajyvä 650g
7310532301722,Estrella Sadonkorjuu sipsi 250g kantarelli
6412000085873,Saarioinen Futispizza kebabpizza 200g
5765228112533,Urtekram Maissinjyvä 400g luomu
6415000170037,Myllärin Luomu Täysjyvävehnäjauho 1kg
6418630012289,Berrie mustaherukka-mansikka 100ml
76106002,Sicilia sitruunatäysmehu 115ml
5411188115458,Alpro soijajuoma 1l suklaanmakuinen UHT
8593868002832,"Staropramen alkoholiton olut 0,5% 0,33l"
5053990101832,Pringles perunalastu 190g original
5411188112549,Alpro riisijuoma 1l makeuttamaton UHT
5901882018761,Vifon riisikasvispikanuudeli Pho Chay Rau 60g
6410405266033,Pirkka Parhaat Tropical smoothie 750ml
6430043013219,Härkis Original härkäpapumurska 250 g
7622300818821,Tuc Crispy Original 
7311440602017,"Planti kaurasmoothie vadelma&lakritsi 0,25l"
6413600167549,Jaffa Vesimeloni-vadelma sokeriton
6413600283300,Jaffa Lemonade sokeriton
6413600223603,Jaffa Trooppinen Persikka sokeriton
6410405321503,Mireille maitosuklaakeksi mansikka
6430047630740,Riivi-porkkana 
6416453014695,Fazer Amerikan pastilli
8410076472403,Old El Paso wheat tortilla
5900020018656,Nesquic kaakaomurot
8008825016536,Tomato sauce
6408180735837,Ruispalat Ruisverso
9300462340029,John West Red Salmon
6414894501231,Finnish carrot
6415715168251,Dark chocolate 70%
24000025528,Peach halves in light syrup
6416453073494,Suklaapisara keksi
24000150817,Fruit Cocktail
6430047630528,Hannun gluteeniton patonki
6430070650777,Kombucha inkivääri sokeriton
6415600503044,Muumi Metsämansikka
7310865074362,Keso raejuusto hasselpähkinä-mustikka-karpalo
5690845001345,Isey Skyr mango-meloni
5906747309503,Digestive classic
8445290486714,Lion vohvelipatukka
6416453014497,Fazer Tyrkisk Peber Hot&Sour
6437005068386,Ruispalat Saaristo
6407800008634,Raikas Kesäsalaatti
6409536651115,Organic kasvissosekeitto
6419800053736,Kevyt Olo Meloni ja päärynä
6438574031986,Pinaattipussi
7340011464709,Luumumarmeladi
7340191123557,Organic coconut oil
8424236014068,TVMix Mini
3045320088618,Bonne Maman Mansikkahillo
3045320088663,Bonne Maman Kastanjalevite
5410358454939,Haribo chamallows
7310100566638,Gluteeniton digestivekeksi
7350068293863,Njie mehujuoma vadelma
7312990006539,Vadelmaveneet
8714100081501,Jäätelötuutti vanilja
6430013860263,Organic Parapähkinät
5694230257669,Manteli & banaani ketopatukka
6430051511639,Taateli-cashewpähkinä
8595229917458,Pähkinäproteiinipatukka caramel
8595229924104,Pähkinäpatukka suklaa j merisuola
6415717750508,Corn flakes
8719200052840,Becel light 38%
6430064407257,Dumle
5907653104718,Gluten free brownie
6410381070150,Suklaa ja kaakaocreme
7340191118379,Myslipatukka suklaa
7340191152458,Vadelmahillo
4056489351214,Sondey cookies
6410405137142,Organic Dates
6416453555075,Domino mustikkapiirakka
6438207000853,Alentaja Maukas margariini
4006952005786,Cooky vaniljatäytekeksi gluteeniton
7311440600570,Planti soygurt mustikka
7310867946186,Stay Strong Skyr sitruuna
8711327622869,Magnum Chill vegan
5410146421044,Danone Danio rahka eksoottiset hedelmät
5701977550547,Mantelipohjainen välipala
8719325822410,Kookosvälipala
6408430400256,Oddlygood kaurajugurtti
6414893096097,Soijavalmiste luomu
4056489454984,Organic egg
5411188082583,Alpro soijavalmiste mansikka-banaani
5411188121213,Alpro greek style natural
4056489375173,Bon gelati
8711327331075,Magnum white almond
9006900014360,Orange juice
20708207,"Kirpeä, hedelmämakeinen"
3046920029759,Lindt Excellence 90% Dark Chocolate
6414893389267,Choco proteiinivanukas
4740125582147,PROfeel tropica
7310861040873,Fudge Sea Salt 
7622300544010,Marabou premium sea salt pecan
80177173,Hasselpähkinä-kaakaolevite
6438207011620,Keiju kasvirasvalevite 70%
5411188139621,Plant protein 15g
4002971246803,Banaani proteiinivanukas
4011800580612,Corny soft proteiinipatukka peanut
6430056283678,Berry Chocolate Crisp
7340001800227,Caramel-Cashew ptoreiinipatukka
7340001804522,Caramel Choco
7350068295539,Protein bar Chocolate n' Biscuit
4002971288209,Salted Caramel Mousse
4002971283907,Vanilja proteiinimousse
4002971329001,High Protein Drink banana
20464028,Södergården mansikkahillo
6412324443205,Suomalainen juokseva hunajavalmiste
8003325000603,Chiarli Lambrusco Grasparossa Di Castelvetro
6419800021261,"A. Le Coq Premium 4,5% Olut 0,33 L Tlk"
5014201266771,Henry Weston Oak Medium Sweet Cider
6415719330968,Rainbow Päärynänpuolikkaat Mehussa 410/230g
6415600026628,"Karhu Olut 4,6% 0,33l Tlk"
5411681408002,Duvel 666’ Belgian Blond 330ml 6.66
6413600253334,"Oy Hartwall Ab Original Long Drink 5,5% Pineapple Tlk 500 Ml"
6438324701770,Tuike Glögi - 75 Cl
